АЗС_CODE,PRODNAME,TANKNUM,ДАТА,HOUR,КОЛИЧЕСТВО,ds,yhat
Z313,АИ-92-К4/К5,2.0,2022-01-01,1,388.15,2022-01-01 01:00:00,543.6112265816604
Z313,АИ-92-К4/К5,2.0,2022-01-01,2,613.02,2022-01-01 02:00:00,264.12911164749164
Z313,АИ-92-К4/К5,2.0,2022-01-01,3,589.88,2022-01-01 03:00:00,35.742034518647756
Z313,АИ-92-К4/К5,2.0,2022-01-01,4,322.54,2022-01-01 04:00:00,-142.48733537413307
Z313,АИ-92-К4/К5,2.0,2022-01-01,5,213.71,2022-01-01 05:00:00,-238.0906562204782
Z313,АИ-92-К4/К5,2.0,2022-01-01,6,105.56,2022-01-01 06:00:00,-187.62971599818206
Z313,АИ-92-К4/К5,2.0,2022-01-01,7,27.78,2022-01-01 07:00:00,40.878632874645405
Z313,АИ-92-К4/К5,2.0,2022-01-01,8,250.4,2022-01-01 08:00:00,386.99799632631846
Z313,АИ-92-К4/К5,2.0,2022-01-01,9,190.4,2022-01-01 09:00:00,710.0933272236275
Z313,АИ-92-К4/К5,2.0,2022-01-01,10,282.16,2022-01-01 10:00:00,880.4213278844438
Z313,АИ-92-К4/К5,2.0,2022-01-01,11,249.72,2022-01-01 11:00:00,875.0900997363807
Z313,АИ-92-К4/К5,2.0,2022-01-01,12,463.28,2022-01-01 12:00:00,791.8772858055851
Z313,АИ-92-К4/К5,2.0,2022-01-01,13,629.85,2022-01-01 13:00:00,764.8104226431572
Z313,АИ-92-К4/К5,2.0,2022-01-01,14,1314.04,2022-01-01 14:00:00,854.8597701718693
Z313,АИ-92-К4/К5,2.0,2022-01-01,15,1117.98,2022-01-01 15:00:00,1011.4894752647473
Z313,АИ-92-К4/К5,2.0,2022-01-01,16,1837.02,2022-01-01 16:00:00,1134.0571203450613
Z313,АИ-92-К4/К5,2.0,2022-01-01,17,1668.71,2022-01-01 17:00:00,1169.769641225305
Z313,АИ-92-К4/К5,2.0,2022-01-01,18,1615.5,2022-01-01 18:00:00,1154.8478641790468
Z313,АИ-92-К4/К5,2.0,2022-01-01,19,1775.41,2022-01-01 19:00:00,1164.5225191013437
Z313,АИ-92-К4/К5,2.0,2022-01-01,20,1416.9,2022-01-01 20:00:00,1226.276749464205
Z313,АИ-92-К4/К5,2.0,2022-01-01,21,944.28,2022-01-01 21:00:00,1283.2017768545988
Z313,АИ-92-К4/К5,2.0,2022-01-01,22,1345.13,2022-01-01 22:00:00,1241.5958726946353
Z313,АИ-92-К4/К5,2.0,2022-01-01,23,1316.48,2022-01-01 23:00:00,1053.9055035141341
Z313,АИ-92-К4/К5,2.0,2022-01-02,0,737.64,2022-01-02 00:00:00,757.0731448282642
Z313,АИ-92-К4/К5,2.0,2022-01-02,1,1065.37,2022-01-02 01:00:00,435.13978893555384
Z313,АИ-92-К4/К5,2.0,2022-01-02,2,400.12,2022-01-02 02:00:00,151.1319827980451
Z313,АИ-92-К4/К5,2.0,2022-01-02,3,387.31,2022-01-02 03:00:00,-80.96335247411855
Z313,АИ-92-К4/К5,2.0,2022-01-02,4,55.56,2022-01-02 04:00:00,-262.04469916517905
Z313,АИ-92-К4/К5,2.0,2022-01-02,16,108.89,2022-01-02 16:00:00,1048.841398634419
Z313,АИ-92-К4/К5,2.0,2022-01-02,17,1467.04,2022-01-02 17:00:00,1092.2668242744594
Z313,АИ-92-К4/К5,2.0,2022-01-02,18,1570.21,2022-01-02 18:00:00,1085.5351564754792
Z313,АИ-92-К4/К5,2.0,2022-01-02,19,1531.41,2022-01-02 19:00:00,1103.7973840055656
Z313,АИ-92-К4/К5,2.0,2022-01-02,20,1507.09,2022-01-02 20:00:00,1174.4535897830892
Z313,АИ-92-К4/К5,2.0,2022-01-02,21,1064.73,2022-01-02 21:00:00,1240.5095577187597
Z313,АИ-92-К4/К5,2.0,2022-01-02,22,1231.03,2022-01-02 22:00:00,1208.1767089745767
Z313,АИ-92-К4/К5,2.0,2022-01-02,23,1453.76,2022-01-02 23:00:00,1029.814222360744
Z313,АИ-92-К4/К5,2.0,2022-01-03,0,627.18,2022-01-03 00:00:00,742.2778224220721
Z313,АИ-92-К4/К5,2.0,2022-01-03,1,914.54,2022-01-03 01:00:00,429.5232486977798
Z313,АИ-92-К4/К5,2.0,2022-01-03,2,632.99,2022-01-03 02:00:00,154.49423110750445
Z313,АИ-92-К4/К5,2.0,2022-01-03,3,352.72,2022-01-03 03:00:00,-68.90178825293651
Z313,АИ-92-К4/К5,2.0,2022-01-03,4,204.78,2022-01-03 04:00:00,-241.63857604093266
Z313,АИ-92-К4/К5,2.0,2022-01-03,5,224.23,2022-01-03 05:00:00,-331.28794772131175
Z313,АИ-92-К4/К5,2.0,2022-01-03,6,218.82,2022-01-03 06:00:00,-274.45516531904354
Z313,АИ-92-К4/К5,2.0,2022-01-03,7,269.71,2022-01-03 07:00:00,-39.203437595785886
Z313,АИ-92-К4/К5,2.0,2022-01-03,8,218.76,2022-01-03 08:00:00,313.9820623354682
Z313,АИ-92-К4/К5,2.0,2022-01-03,9,621.36,2022-01-03 09:00:00,644.415565420047
Z313,АИ-92-К4/К5,2.0,2022-01-03,10,792.47,2022-01-03 10:00:00,822.3016033221645
Z313,АИ-92-К4/К5,2.0,2022-01-03,11,1567.81,2022-01-03 11:00:00,824.6951616189161
Z313,АИ-92-К4/К5,2.0,2022-01-03,12,1498.06,2022-01-03 12:00:00,749.3203293229874
Z313,АИ-92-К4/К5,2.0,2022-01-03,13,1479.8,2022-01-03 13:00:00,730.1511558056324
Z313,АИ-92-К4/К5,2.0,2022-01-03,14,1853.47,2022-01-03 14:00:00,828.1049781768104
Z313,АИ-92-К4/К5,2.0,2022-01-03,15,1191.53,2022-01-03 15:00:00,992.5940695270681
Z313,АИ-92-К4/К5,2.0,2022-01-03,16,685.75,2022-01-03 16:00:00,1122.9256540502681
Z313,АИ-92-К4/К5,2.0,2022-01-03,17,8.34,2022-01-03 17:00:00,1166.2582685311404
Z313,АИ-92-К4/К5,2.0,2022-01-03,18,245.25,2022-01-03 18:00:00,1158.7667153337518
Z313,АИ-92-К4/К5,2.0,2022-01-03,19,932.96,2022-01-03 19:00:00,1175.6384596853668
Z313,АИ-92-К4/К5,2.0,2022-01-03,20,782.31,2022-01-03 20:00:00,1244.3164879818587
Z313,АИ-92-К4/К5,2.0,2022-01-03,21,1010.48,2022-01-03 21:00:00,1307.855281571262
Z313,АИ-92-К4/К5,2.0,2022-01-03,22,672.76,2022-01-03 22:00:00,1272.5200556858856
Z313,АИ-92-К4/К5,2.0,2022-01-03,23,951.13,2022-01-03 23:00:00,1090.7281275048624
Z313,АИ-92-К4/К5,2.0,2022-01-04,0,505.0,2022-01-04 00:00:00,799.3969066639527
Z313,АИ-92-К4/К5,2.0,2022-01-04,1,736.15,2022-01-04 01:00:00,482.54653196636104
Z313,АИ-92-К4/К5,2.0,2022-01-04,2,308.91,2022-01-04 02:00:00,203.18699020885686
Z313,АИ-92-К4/К5,2.0,2022-01-04,3,301.84,2022-01-04 03:00:00,-24.707031845275083
Z313,АИ-92-К4/К5,2.0,2022-01-04,4,377.21,2022-01-04 04:00:00,-202.04194047362842
Z313,АИ-92-К4/К5,2.0,2022-01-04,5,110.64,2022-01-04 05:00:00,-296.32293790088875
Z313,АИ-92-К4/К5,2.0,2022-01-04,6,52.78,2022-01-04 06:00:00,-244.09026327120569
Z313,АИ-92-К4/К5,2.0,2022-01-04,7,143.18,2022-01-04 07:00:00,-13.344505627035915
Z313,АИ-92-К4/К5,2.0,2022-01-04,8,276.46,2022-01-04 08:00:00,335.4886063851656
Z313,АИ-92-К4/К5,2.0,2022-01-04,9,556.69,2022-01-04 09:00:00,661.7788506525286
Z313,АИ-92-К4/К5,2.0,2022-01-04,10,596.56,2022-01-04 10:00:00,835.7817453237393
Z313,АИ-92-К4/К5,2.0,2022-01-04,11,1287.1,2022-01-04 11:00:00,834.5981059213999
Z313,АИ-92-К4/К5,2.0,2022-01-04,12,1641.82,2022-01-04 12:00:00,755.9921731933196
Z313,АИ-92-К4/К5,2.0,2022-01-04,13,1631.36,2022-01-04 13:00:00,733.9720287746395
Z313,АИ-92-К4/К5,2.0,2022-01-04,14,1498.47,2022-01-04 14:00:00,829.4825670064962
Z313,АИ-92-К4/К5,2.0,2022-01-04,15,1924.77,2022-01-04 15:00:00,991.9568772462405
Z313,АИ-92-К4/К5,2.0,2022-01-04,16,2143.52,2022-01-04 16:00:00,1120.7160856079872
Z313,АИ-92-К4/К5,2.0,2022-01-04,17,1629.01,2022-01-04 17:00:00,1162.9256371369568
Z313,АИ-92-К4/К5,2.0,2022-01-04,18,1667.4,2022-01-04 18:00:00,1154.760264170772
Z313,АИ-92-К4/К5,2.0,2022-01-04,19,1669.77,2022-01-04 19:00:00,1171.4004926921782
Z313,АИ-92-К4/К5,2.0,2022-01-04,20,1972.94,2022-01-04 20:00:00,1240.2757015028426
Z313,АИ-92-К4/К5,2.0,2022-01-04,21,1205.53,2022-01-04 21:00:00,1304.4203854194247
Z313,АИ-92-К4/К5,2.0,2022-01-04,22,1364.33,2022-01-04 22:00:00,1270.07376790237
Z313,АИ-92-К4/К5,2.0,2022-01-04,23,1235.37,2022-01-04 23:00:00,1089.6216216053183
Z313,АИ-92-К4/К5,2.0,2022-01-05,0,832.0,2022-01-05 00:00:00,799.9447836868225
Z313,АИ-92-К4/К5,2.0,2022-01-05,1,1250.54,2022-01-05 01:00:00,485.022382635001
Z313,АИ-92-К4/К5,2.0,2022-01-05,2,374.4,2022-01-05 02:00:00,207.81960380350642
Z313,АИ-92-К4/К5,2.0,2022-01-05,3,207.79,2022-01-05 03:00:00,-17.736763771697724
Z313,АИ-92-К4/К5,2.0,2022-01-05,4,140.9,2022-01-05 04:00:00,-192.60338691591426
Z313,АИ-92-К4/К5,2.0,2022-01-05,5,58.34,2022-01-05 05:00:00,-284.3373294182263
Z313,АИ-92-К4/К5,2.0,2022-01-05,6,111.72,2022-01-05 06:00:00,-229.53151288763354
Z313,АИ-92-К4/К5,2.0,2022-01-05,7,231.56,2022-01-05 07:00:00,3.7607581368743013
Z313,АИ-92-К4/К5,2.0,2022-01-05,8,486.69,2022-01-05 08:00:00,355.0617912107979
Z313,АИ-92-К4/К5,2.0,2022-01-05,9,1170.22,2022-01-05 09:00:00,683.6909236812452
Z313,АИ-92-К4/К5,2.0,2022-01-05,10,985.7,2022-01-05 10:00:00,859.8555037360873
Z313,АИ-92-К4/К5,2.0,2022-01-05,11,937.02,2022-01-05 11:00:00,860.61116122983
Z313,АИ-92-К4/К5,2.0,2022-01-05,12,640.98,2022-01-05 12:00:00,783.6806056659112
Z313,АИ-92-К4/К5,2.0,2022-01-05,13,830.39,2022-01-05 13:00:00,763.0346595501494
Z313,АИ-92-К4/К5,2.0,2022-01-05,14,952.16,2022-01-05 14:00:00,859.5857871362944
Z313,АИ-92-К4/К5,2.0,2022-01-05,15,1076.49,2022-01-05 15:00:00,1022.7399653734868
Z313,АИ-92-К4/К5,2.0,2022-01-05,16,1037.06,2022-01-05 16:00:00,1151.7969395177047
Z313,АИ-92-К4/К5,2.0,2022-01-05,17,1123.14,2022-01-05 17:00:00,1193.906838718012
Z313,АИ-92-К4/К5,2.0,2022-01-05,18,1736.72,2022-01-05 18:00:00,1185.2353927488189
Z313,АИ-92-К4/К5,2.0,2022-01-05,19,1439.35,2022-01-05 19:00:00,1200.9605984239256
Z313,АИ-92-К4/К5,2.0,2022-01-05,20,1447.26,2022-01-05 20:00:00,1268.515848163756
Z313,АИ-92-К4/К5,2.0,2022-01-05,21,1690.97,2022-01-05 21:00:00,1330.9461708209565
Z313,АИ-92-К4/К5,2.0,2022-01-05,22,1412.76,2022-01-05 22:00:00,1294.5077304370966
Z313,АИ-92-К4/К5,2.0,2022-01-05,23,1234.31,2022-01-05 23:00:00,1111.6094426768013
Z313,АИ-92-К4/К5,2.0,2022-01-06,0,443.96,2022-01-06 00:00:00,819.1611983957932
Z313,АИ-92-К4/К5,2.0,2022-01-06,1,306.72,2022-01-06 01:00:00,501.1767146824619
Z313,АИ-92-К4/К5,2.0,2022-01-06,2,122.98,2022-01-06 02:00:00,220.6608455685461
Z313,АИ-92-К4/К5,2.0,2022-01-06,3,20.0,2022-01-06 03:00:00,-8.415399326705028
Z313,АИ-92-К4/К5,2.0,2022-01-06,4,37.35,2022-01-06 04:00:00,-186.96050893099311
Z313,АИ-92-К4/К5,2.0,2022-01-06,5,90.84,2022-01-06 05:00:00,-282.48006511504184
Z313,АИ-92-К4/К5,2.0,2022-01-06,7,73.49,2022-01-06 07:00:00,-2.0564006890753035
Z313,АИ-92-К4/К5,2.0,2022-01-06,8,453.57,2022-01-06 08:00:00,345.4687803974408
Z313,АИ-92-К4/К5,2.0,2022-01-06,9,703.87,2022-01-06 09:00:00,670.4392762073608
Z313,АИ-92-К4/К5,2.0,2022-01-06,10,1416.26,2022-01-06 10:00:00,843.1192140765097
Z313,АИ-92-К4/К5,2.0,2022-01-06,11,1625.03,2022-01-06 11:00:00,840.6196725150171
Z313,АИ-92-К4/К5,2.0,2022-01-06,12,1735.45,2022-01-06 12:00:00,760.7166830529645
Z313,АИ-92-К4/К5,2.0,2022-01-06,13,1782.47,2022-01-06 13:00:00,737.4314890553376
Z313,АИ-92-К4/К5,2.0,2022-01-06,14,1280.4,2022-01-06 14:00:00,831.723331712964
Z313,АИ-92-К4/К5,2.0,2022-01-06,15,1530.55,2022-01-06 15:00:00,993.0406202452893
Z313,АИ-92-К4/К5,2.0,2022-01-06,16,1828.95,2022-01-06 16:00:00,1120.720538068284
Z313,АИ-92-К4/К5,2.0,2022-01-06,17,1358.48,2022-01-06 17:00:00,1161.945069221547
Z313,АИ-92-К4/К5,2.0,2022-01-06,18,1381.78,2022-01-06 18:00:00,1152.9056944093136
Z313,АИ-92-К4/К5,2.0,2022-01-06,19,1336.26,2022-01-06 19:00:00,1168.799612281899
Z313,АИ-92-К4/К5,2.0,2022-01-06,20,1086.66,2022-01-06 20:00:00,1237.0725049660978
