АЗС_CODE,PRODNAME,TANKNUM,ДАТА,HOUR,КОЛИЧЕСТВО
Z313,АИ-95-К4/К5,1.0,2022-01-01,1,171.84
Z313,АИ-95-К4/К5,1.0,2022-01-01,2,436.74
Z313,АИ-95-К4/К5,1.0,2022-01-01,3,323.66
Z313,АИ-95-К4/К5,1.0,2022-01-01,4,265.33
Z313,АИ-95-К4/К5,1.0,2022-01-01,5,99.27
Z313,АИ-95-К4/К5,1.0,2022-01-01,6,79.3
Z313,АИ-95-К4/К5,1.0,2022-01-01,8,106.44
Z313,АИ-95-К4/К5,1.0,2022-01-01,9,57.08
Z313,АИ-95-К4/К5,1.0,2022-01-01,10,77.17
Z313,АИ-95-К4/К5,1.0,2022-01-01,11,71.39
Z313,АИ-95-К4/К5,1.0,2022-01-01,12,171.02
Z313,АИ-95-К4/К5,1.0,2022-01-01,13,296.97
Z313,АИ-95-К4/К5,1.0,2022-01-01,14,203.43
Z313,АИ-95-К4/К5,1.0,2022-01-01,15,724.75
Z313,АИ-95-К4/К5,1.0,2022-01-01,16,622.46
Z313,АИ-95-К4/К5,1.0,2022-01-01,17,697.15
Z313,АИ-95-К4/К5,1.0,2022-01-01,18,717.16
Z313,АИ-95-К4/К5,1.0,2022-01-01,19,875.91
Z313,АИ-95-К4/К5,1.0,2022-01-01,20,500.77
Z313,АИ-95-К4/К5,1.0,2022-01-01,21,387.02
Z313,АИ-95-К4/К5,1.0,2022-01-01,22,635.45
Z313,АИ-95-К4/К5,1.0,2022-01-01,23,494.64
Z313,АИ-95-К4/К5,1.0,2022-01-01,24,151.48
Z313,АИ-92-К4/К5,2.0,2022-01-01,1,388.15
Z313,АИ-92-К4/К5,2.0,2022-01-01,2,613.02
Z313,АИ-92-К4/К5,2.0,2022-01-01,3,589.88
Z313,АИ-92-К4/К5,2.0,2022-01-01,4,322.54
Z313,АИ-92-К4/К5,2.0,2022-01-01,5,213.71
Z313,АИ-92-К4/К5,2.0,2022-01-01,6,105.56
Z313,АИ-92-К4/К5,2.0,2022-01-01,7,27.78
Z313,АИ-92-К4/К5,2.0,2022-01-01,8,250.4
Z313,АИ-92-К4/К5,2.0,2022-01-01,9,190.4
Z313,АИ-92-К4/К5,2.0,2022-01-01,10,282.16
Z313,АИ-92-К4/К5,2.0,2022-01-01,11,249.72
Z313,АИ-92-К4/К5,2.0,2022-01-01,12,463.28
Z313,АИ-92-К4/К5,2.0,2022-01-01,13,629.85
Z313,АИ-92-К4/К5,2.0,2022-01-01,14,1314.04
Z313,АИ-92-К4/К5,2.0,2022-01-01,15,1117.98
Z313,АИ-92-К4/К5,2.0,2022-01-01,16,1837.02
Z313,АИ-92-К4/К5,2.0,2022-01-01,17,1668.71
Z313,АИ-92-К4/К5,2.0,2022-01-01,18,1615.5
Z313,АИ-92-К4/К5,2.0,2022-01-01,19,1775.41
Z313,АИ-92-К4/К5,2.0,2022-01-01,20,1416.9
Z313,АИ-92-К4/К5,2.0,2022-01-01,21,944.28
Z313,АИ-92-К4/К5,2.0,2022-01-01,22,1345.13
Z313,АИ-92-К4/К5,2.0,2022-01-01,23,1316.48
Z313,АИ-92-К4/К5,2.0,2022-01-01,24,737.64
Z313,ДТ-К4/К5,3.0,2022-01-01,5,30.0
Z313,ДТ-К4/К5,3.0,2022-01-01,8,41.74
