АЗС_CODE,PRODNAME,TANKNUM,ДАТА,HOUR,КОЛИЧЕСТВО,ds,yhat
Z313,АИ-92-К4/К5,2.0,2022-01-01,1,388.15,2022-01-01 01:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-01,2,613.02,2022-01-01 02:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-01,3,589.88,2022-01-01 03:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-01,4,322.54,2022-01-01 04:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-01,5,213.71,2022-01-01 05:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-01,6,105.56,2022-01-01 06:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-01,7,27.78,2022-01-01 07:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-01,8,250.4,2022-01-01 08:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-01,9,190.4,2022-01-01 09:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-01,10,282.16,2022-01-01 10:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-01,11,249.72,2022-01-01 11:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-01,12,463.28,2022-01-01 12:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-01,13,629.85,2022-01-01 13:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-01,14,1314.04,2022-01-01 14:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-01,15,1117.98,2022-01-01 15:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-01,16,1837.02,2022-01-01 16:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-01,17,1668.71,2022-01-01 17:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-01,18,1615.5,2022-01-01 18:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-01,19,1775.41,2022-01-01 19:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-01,20,1416.9,2022-01-01 20:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-01,21,944.28,2022-01-01 21:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-01,22,1345.13,2022-01-01 22:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-01,23,1316.48,2022-01-01 23:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-02,0,737.64,2022-01-02 00:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-02,1,1065.37,2022-01-02 01:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-02,2,400.12,2022-01-02 02:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-02,3,387.31,2022-01-02 03:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-02,4,55.56,2022-01-02 04:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-02,16,108.89,2022-01-02 16:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-02,17,1467.04,2022-01-02 17:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-02,18,1570.21,2022-01-02 18:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-02,19,1531.41,2022-01-02 19:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-02,20,1507.09,2022-01-02 20:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-02,21,1064.73,2022-01-02 21:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-02,22,1231.03,2022-01-02 22:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-02,23,1453.76,2022-01-02 23:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-03,0,627.18,2022-01-03 00:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-03,1,914.54,2022-01-03 01:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-03,2,632.99,2022-01-03 02:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-03,3,352.72,2022-01-03 03:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-03,4,204.78,2022-01-03 04:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-03,5,224.23,2022-01-03 05:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-03,6,218.82,2022-01-03 06:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-03,7,269.71,2022-01-03 07:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-03,8,218.76,2022-01-03 08:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-03,9,621.36,2022-01-03 09:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-03,10,792.47,2022-01-03 10:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-03,11,1567.81,2022-01-03 11:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-03,12,1498.06,2022-01-03 12:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-03,13,1479.8,2022-01-03 13:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-03,14,1853.47,2022-01-03 14:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-03,15,1191.53,2022-01-03 15:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-03,16,685.75,2022-01-03 16:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-03,17,8.34,2022-01-03 17:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-03,18,245.25,2022-01-03 18:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-03,19,932.96,2022-01-03 19:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-03,20,782.31,2022-01-03 20:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-03,21,1010.48,2022-01-03 21:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-03,22,672.76,2022-01-03 22:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-03,23,951.13,2022-01-03 23:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-04,0,505.0,2022-01-04 00:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-04,1,736.15,2022-01-04 01:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-04,2,308.91,2022-01-04 02:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-04,3,301.84,2022-01-04 03:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-04,4,377.21,2022-01-04 04:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-04,5,110.64,2022-01-04 05:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-04,6,52.78,2022-01-04 06:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-04,7,143.18,2022-01-04 07:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-04,8,276.46,2022-01-04 08:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-04,9,556.69,2022-01-04 09:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-04,10,596.56,2022-01-04 10:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-04,11,1287.1,2022-01-04 11:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-04,12,1641.82,2022-01-04 12:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-04,13,1631.36,2022-01-04 13:00:00,
Z313,АИ-92-К4/К5,2.0,2022-01-04,14,1498.47,2022-01-04 14:00:00,
