АЗС_CODE,ДАТА,HOUR,КОЛИЧЕСТВО
Z313,01.01.22,1,1012.24
Z313,01.01.22,2,1544.33
Z313,01.01.22,3,1429.26
Z313,01.01.22,4,751.27
Z313,01.01.22,5,559.97
Z313,01.01.22,6,304.89
Z313,01.01.22,7,147.95
Z313,01.01.22,8,598.66
Z313,01.01.22,9,447.61
Z313,01.01.22,10,485.91
Z313,01.01.22,11,527.05
Z313,01.01.22,12,1337.59
Z313,01.01.22,13,1297.34
Z313,01.01.22,14,1851.38
Z313,01.01.22,15,2071.75
Z313,01.01.22,16,2606.01
Z313,01.01.22,17,2424.64
Z313,01.01.22,18,2550.55
Z313,01.01.22,19,2855.33
Z313,01.01.22,20,2034.45
Z313,01.01.22,21,1443.08
Z313,01.01.22,22,2121.83
Z313,01.01.22,23,2082.9
Z313,01.01.22,24,1234.27
Z313,01.01.23,1,1107.74
Z313,01.01.23,2,1751.93
Z313,01.01.23,3,1406.45
Z313,01.01.23,4,829.66
Z313,01.01.23,5,473.13
Z313,01.01.23,6,442.63
Z313,01.01.23,7,409.72
Z313,01.01.23,8,255.02
Z313,01.01.23,9,687.58
Z313,01.01.23,10,1142.3
Z313,01.01.23,11,784.02
Z313,01.01.23,12,1639.1
Z313,01.01.23,13,1857.77
Z313,01.01.23,14,2425.72
Z313,01.01.23,15,2102.07
Z313,01.01.23,16,2976.76
Z313,01.01.23,17,2793.36
Z313,01.01.23,18,2774.58
Z313,01.01.23,19,2505.36
Z313,01.01.23,20,2469.81
Z313,01.01.23,21,2435.85
Z313,01.01.23,22,2258.99
Z313,01.01.23,23,2126.29
Z313,01.01.23,24,1514.36
Z313,01.01.24,1,1716.25
Z313,01.01.24,2,1657.11
Z313,01.01.24,3,2006.91
Z313,01.01.24,4,1437.97
Z313,01.01.24,5,704.06
Z313,01.01.24,6,735.55
Z313,01.01.24,7,408.73
Z313,01.01.24,8,663.86
Z313,01.01.24,9,577.45
Z313,01.01.24,10,481.33
Z313,01.01.24,11,783.59
Z313,01.01.24,12,1325.34
Z313,01.01.24,13,1410.21
Z313,01.01.24,14,1525.57
Z313,01.01.24,15,2782.39
Z313,01.01.24,16,3636.67
Z313,01.01.24,17,2699.83
Z313,01.01.24,18,2958.51
Z313,01.01.24,19,2625.04
Z313,01.01.24,20,2485.37
Z313,01.01.24,21,2639.39
Z313,01.01.24,22,3197.5
Z313,01.01.24,23,2466.93
Z313,01.01.24,24,1785.37
Z313,01.02.22,1,1137.95
Z313,01.02.22,2,558.56
Z313,01.02.22,3,283.54
Z313,01.02.22,4,447.12
Z313,01.02.22,5,161.46
Z313,01.02.22,6,83.96
Z313,01.02.22,7,280.83
Z313,01.02.22,8,1601.84
Z313,01.02.22,9,2955.54
Z313,01.02.22,10,3216.98
Z313,01.02.22,11,3109.21
Z313,01.02.22,12,3797.01
Z313,01.02.22,13,3260.31
Z313,01.02.22,14,3220.33
Z313,01.02.22,15,3617.93
Z313,01.02.22,16,2949.53
Z313,01.02.22,17,3411.04
Z313,01.02.22,18,3646.92
Z313,01.02.22,19,2870.34
Z313,01.02.22,20,3581.05
Z313,01.02.22,21,2817.18
Z313,01.02.22,22,2963.77
Z313,01.02.22,23,2519.79
Z313,01.02.22,24,1493.06
Z313,01.02.23,1,1623.11
Z313,01.02.23,2,666.62
Z313,01.02.23,3,592.96
Z313,01.02.23,4,239.25
Z313,01.02.23,5,96.19
Z313,01.02.23,6,226.14
Z313,01.02.23,7,588.96
Z313,01.02.23,8,2636.53
Z313,01.02.23,9,3041.19
Z313,01.02.23,10,2823.02
Z313,01.02.23,11,3134.62
Z313,01.02.23,12,3156.8
Z313,01.02.23,13,2905.56
Z313,01.02.23,14,3240.09
Z313,01.02.23,15,2974.9
Z313,01.02.23,16,3104.05
Z313,01.02.23,17,3254.89
Z313,01.02.23,18,3143.53
Z313,01.02.23,19,3530.08
Z313,01.02.23,20,3355.06
Z313,01.02.23,21,3227.31
Z313,01.02.23,22,3241.39
Z313,01.02.23,23,3234.28
Z313,01.02.23,24,1834.8
Z313,01.02.24,1,2213.22
Z313,01.02.24,2,1317.02
Z313,01.02.24,3,1130.67
Z313,01.02.24,4,914.31
Z313,01.02.24,5,447.54
Z313,01.02.24,6,349.3
Z313,01.02.24,7,730.17
Z313,01.02.24,8,2364.34
Z313,01.02.24,9,3437.59
Z313,01.02.24,10,3922.34
Z313,01.02.24,11,3457.92
Z313,01.02.24,12,3444.38
Z313,01.02.24,13,3676.96
Z313,01.02.24,14,3751.84
Z313,01.02.24,15,4092.47
Z313,01.02.24,16,4036.07
Z313,01.02.24,17,3525.99
Z313,01.02.24,18,3803.95
Z313,01.02.24,19,3569.28
Z313,01.02.24,20,3498.39
Z313,01.02.24,21,3291.41
Z313,01.02.24,22,3780.59
